time	cpu_%	mem_%
0	0.0526316	0.0176071
1	0.000207426	0.0176071
2	0	0.0176072
3	0.000414852	0.0176072
4	0.000207469	0.017607
5	0.000414938	0.0176058
6	0.000207469	0.0176066
7	0.0548514	0.0181793
8	1	0.0397704
9	1	0.0685223
10	0.999792	0.097072
11	1	0.123365
12	1	0.148556
13	1	0.169443
14	1	0.191592
15	1	0.214249
16	1	0.235278
17	1	0.257209
18	1	0.278112
19	1	0.298407
20	1	0.318852
21	1	0.338583
22	0.99875	0.357525
23	0.997497	0.375539
24	0.99751	0.393353
25	0.999167	0.412199
26	0.993772	0.429491
27	0.994364	0.446923
28	0.995617	0.464357
29	0.491543	0.469799
30	0.371391	0.470775
31	0.495207	0.471691
32	0.470462	0.472575
33	0.244189	0.47296
34	0.0671626	0.472947
35	0.0658314	0.472884
36	0.0652359	0.47284
37	0.0651666	0.472787
38	0.0638026	0.472734
39	0.0603669	0.472681
40	0.0610119	0.472628
41	0.0639066	0.472581
42	0.0614072	0.47253
43	0.0524305	0.472487
44	0.0517168	0.472448
45	0.049671	0.472381
46	0.0502651	0.472329
47	0.0517607	0.472298
48	0.0494587	0.472243
49	0.0498621	0.472201
50	0.0505201	0.472182
51	0.0494482	0.472153
53	0.0505093	0.472128
54	0.0496815	0.472121
55	0.0502331	0.47211
56	0.0507323	0.472098
57	0.0507431	0.472095
58	0.0498727	0.472091
59	0.0497026	0.472087
60	0.0506463	0.472086
61	0.0501168	0.472086
62	0.0498409	0.472085
63	0.0502545	0.472083
64	0.0511026	0.472083
65	0.0500955	0.472082
66	0.0496604	0.472081
67	0.0511243	0.472081
68	0.0508582	0.472082
69	0.0500955	0.472081
70	0.0502545	0.47208
71	0.0496815	0.47208
72	0.050923	0.472079
73	0.049671	0.472079
74	0.0492464	0.472079
75	0.0513473	0.47208
76	0.0490654	0.47208
77	0.0517717	0.47208
78	0.0492674	0.472079
79	0.0494482	0.472081
80	0.0513473	0.472082
81	0.0502545	0.472082
82	0.0500955	0.472083
83	0.0505093	0.472083
84	0.0498833	0.472084
85	0.0502971	0.472084
