time	cpu_%	mem_%
0	0.05	0.0179634
1	0.000414852	0.0179634
2	0.000414766	0.0179634
3	0.000207426	0.0179628
4	0.000207469	0.0179628
5	0.00103734	0.0179628
6	0.000207469	0.017962
7	0.000207469	0.0179615
8	0.000414852	0.0179608
9	0.000207469	0.0179607
10	0.000207512	0.0179604
11	0.000414852	0.0179604
12	0	0.0179604
13	0.000414766	0.0179604
14	0.000207512	0.0179603
15	0.527352	0.0254028
16	1	0.0460093
17	1	0.0751129
18	1	0.102925
19	1	0.128851
20	1	0.152832
21	1	0.174642
22	1	0.196999
23	1	0.219449
24	1	0.240258
25	1	0.260875
26	0.999793	0.280385
27	0.999583	0.300684
28	0.999793	0.319295
29	0.999792	0.337688
30	0.998958	0.356421
31	0.998963	0.374691
32	0.997291	0.393766
33	0.998339	0.41183
34	0.97807	0.428125
35	0.954536	0.444004
36	0.946246	0.459602
37	0.934778	0.474912
38	0.907909	0.489786
39	0.883662	0.504282
40	0.879791	0.518575
41	0.852404	0.532494
42	0.820777	0.545556
43	0.815391	0.558368
44	0.840847	0.570939
45	0.837439	0.583322
46	0.834102	0.595483
47	0.853028	0.607396
48	0.859929	0.619194
49	0.866933	0.630789
50	0.859031	0.642121
51	0.886169	0.653199
52	0.880857	0.664221
53	0.867715	0.675057
54	0.863284	0.685714
55	0.840659	0.695351
56	0.799113	0.704144
57	0.761694	0.712419
58	0.76308	0.72077
59	0.745073	0.72898
60	0.738276	0.737099
61	0.721693	0.745102
62	0.711177	0.752957
63	0.705421	0.760751
64	0.705312	0.768587
65	0.70525	0.776288
66	0.700721	0.784004
67	0.694374	0.791656
68	0.695284	0.79924
69	0.675021	0.806658
70	0.682442	0.814125
71	0.67547	0.821396
72	0.672873	0.828752
73	0.671468	0.836102
74	0.659322	0.843221
75	0.666808	0.850842
76	0.74805	0.859874
77	0.69151	0.867552
78	0.657427	0.874633
79	0.662082	0.881653
80	0.668431	0.888678
81	0.64792	0.89555
82	0.643841	0.90246
83	0.631891	0.909181
84	0.628693	0.915925
85	0.685389	0.924035
86	0.71005	0.932357
87	0.506803	0.937198
88	0.262284	0.937647
89	0.413122	0.93807
90	0.414378	0.938515
91	0.314978	0.938884
92	0.106794	0.93903
93	0.104085	0.939106
94	0.0972222	0.939134
95	0.101354	0.939107
96	0.106206	0.939078
97	0.106243	0.939047
98	0.105309	0.939024
99	0.104536	0.938992
100	0.105931	0.938966
101	0.106518	0.93895
102	0.101662	0.938932
103	0.10184	0.938903
104	0.103539	0.938883
105	0.103871	0.938872
106	0.102906	0.938854
107	0.102665	0.938841
109	0.103689	0.938837
110	0.101795	0.93883
111	0.103629	0.938832
112	0.103493	0.93883
113	0.103086	0.938828
114	0.105057	0.938827
115	0.103953	0.938827
116	0.102642	0.938827
117	0.103298	0.938828
118	0.1028	0.938828
119	0.103493	0.938829
120	0.103757	0.938827
121	0.102838	0.938827
122	0.10378	0.938827
123	0.103493	0.938828
124	0.102273	0.938828
125	0.103916	0.938828
126	0.102648	0.938828
127	0.104066	0.938828
128	0.103652	0.938829
129	0.103621	0.93883
130	0.102867	0.93883
131	0.103478	0.938831
132	0.104826	0.93883
133	0.105517	0.93883
134	0.10234	0.93883
135	0.104194	0.93883
136	0.103018	0.938831
137	0.10234	0.938831
138	0.104058	0.938831
139	0.104035	0.938831
140	0.104253	0.938832
141	0.104631	0.938832
142	0.103712	0.938832
143	0.10262	0.938832
144	0.105125	0.938832
145	0.104527	0.938832
146	0.105905	0.938832
147	0.103561	0.938832
148	0.103689	0.938832
149	0.105631	0.938832
150	0.104793	0.938833
151	0.103757	0.938833
152	0.105895	0.93884
153	0.132716	0.93917
154	0.129456	0.939206
155	0.129825	0.939237
156	0.127277	0.939258
157	0.127823	0.939281
158	0.128009	0.939288
159	0.128665	0.9393
160	0.128312	0.939295
161	0.127515	0.939304
162	0.128525	0.939305
163	0.130282	0.939319
164	0.131326	0.93932
165	0.130252	0.939334
166	0.129152	0.939353
167	0.128222	0.939357
168	0.127902	0.939359
169	0.128659	0.939355
170	0.128143	0.939359
171	0.128171	0.939361
172	0.126616	0.939352
173	0.128412	0.939368
174	0.126069	0.939372
175	0.128171	0.939358
176	0.128575	0.939356
177	0.127524	0.939376
178	0.126396	0.939362
179	0.126344	0.939368
180	0.127604	0.939376
181	0.127678	0.939377
182	0.127109	0.939374
183	0.127213	0.939382
184	0.126724	0.939387
185	0.127026	0.939383
186	0.126258	0.939384
187	0.128446	0.939374
188	0.125137	0.939386
189	0.127269	0.939388
190	0.127678	0.939392
191	0.128025	0.939403
192	0.127963	0.939399
193	0.127201	0.93939
194	0.127548	0.939402
195	0.128806	0.939392
196	0.126696	0.9394
197	0.12811	0.939402
198	0.125383	0.939402
199	0.126339	0.939407
200	0.126203	0.939404
201	0.124286	0.939397
202	0.124233	0.939389
203	0.126205	0.939397
204	0.128308	0.939388
205	0.12738	0.939388
206	0.124781	0.939397
207	0.125793	0.939402
208	0.127348	0.939403
209	0.125984	0.93941
210	0.126831	0.939405
211	0.129711	0.939398
212	0.126721	0.939395
213	0.126477	0.939397
214	0.127432	0.939396
215	0.128912	0.939403
216	0.128306	0.939403
217	0.126532	0.939399
218	0.125137	0.939391
219	0.128412	0.939382
220	0.126203	0.939388
221	0.127981	0.939386
222	0.127217	0.939386
223	0.127869	0.939401
224	0.126313	0.9394
225	0.128328	0.93941
226	0.126998	0.93941
227	0.126665	0.939408
228	0.126724	0.939408
229	0.129223	0.93941
230	0.127022	0.939409
231	0.12426	0.939404
232	0.127022	0.939404
233	0.126216	0.9394
234	0.126366	0.939392
235	0.126049	0.939399
236	0.126776	0.9394
237	0.126477	0.93941
238	0.128356	0.93941
239	0.127054	0.939407
240	0.129825	0.939408
241	0.126911	0.939399
242	0.127269	0.939416
243	0.129468	0.93942
244	0.128009	0.93943
245	0.129391	0.939419
246	0.12792	0.939418
248	0.126751	0.939416
249	0.128765	0.939427
250	0.128955	0.93942
251	0.127869	0.939418
252	0.131112	0.939422
253	0.129229	0.939423
254	0.128475	0.939419
255	0.128737	0.939413
256	0.127464	0.939423
257	0.129853	0.939419
258	0.128082	0.939419
259	0.127981	0.939429
260	0.128384	0.939439
261	0.129152	0.939436
262	0.128412	0.939424
263	0.127515	0.939429
264	0.128955	0.939431
265	0.129456	0.939437
266	0.130074	0.939436
267	0.129743	0.939436
268	0.129573	0.939433
269	0.12906	0.939437
270	0.130179	0.939439
271	0.1274	0.939441
272	0.129258	0.939446
273	0.129089	0.939445
274	0.130752	0.939454
275	0.127729	0.939448
276	0.129609	0.939459
277	0.128346	0.939461
278	0.129258	0.939461
